2.8264  MSE 26360.6113, SSIM 0.0101
120 0.0013  MSE 5979.9492, SSIM 0.4542
130 0.0008  MSE 4280.2002, SSIM 0.5343
140 0.0005  MSE 3182.1133, SSIM 0.6052
150 0.0003  MSE 2231.9287, SSIM 0.6834
160 0.0002  MSE 1539.6387, SSIM 0.7433
170 0.0002  MSE 1081.2051, SSIM 0.7995
180 0.0001  MSE 777.1973, SSIM 0.8428
190 0.0001  MSE 533.5615, SSIM 0.8847
0 242.2884  MSE 22564.2881, SSIM 0.0189
10 166.7017  MSE 22747.3418, SSIM -0.0012
20 162.1065  MSE 22795.9902, SSIM 0.0109
30 161.2393  MSE 22707.4463, SSIM 0.0250
40 160.5671  MSE 22541.3545, SSIM 0.0062
50 159.9219  MSE 22450.2305, SSIM 0.0262
60 159.2483  MSE 23164.6895, SSIM 0.0247
70 158.7046  MSE 22846.9111, SSIM 0.0210
80 158.2552  MSE 22831.6797, SSIM 0.0060
90 157.9151  MSE 22717.9248, SSIM 0.0059
100 157.4826  MSE 22754.6064, SSIM 0.0156
110 157.1607  MSE 22424.1035, SSIM 0.0117
120 156.9560  MSE 23214.9238, SSIM 0.0155
130 156.7785  MSE 22741.9023, SSIM 0.0086
140 156.5948  MSE 23235.0576, SSIM -0.0023
150 156.3905  MSE 23021.7422, SSIM 0.0083
160 156.2206  MSE 23944.9434, SSIM -0.0048
170 156.0275  MSE 22447.6777, SSIM 0.0086
180 155.8484  MSE 23028.5264, SSIM 0.0040
190 155.3986  MSE 23305.6602, SSIM 0.0037
0 10.9474  MSE 30501.4404, SSIM 0.0061
10 4.3578  MSE 30167.7725, SSIM 0.0166
20 3.3193  MSE 30260.4551, SSIM 0.0112
30 2.6239  MSE 29768.8740, SSIM 0.0193
40 1.7719  MSE 30292.2764, SSIM 0.0128
50 1.3026  MSE 30948.6484, SSIM 0.0123
60 1.0053  MSE 29733.0850, SSIM 0.0214
70 0.8482  MSE 30779.1338, SSIM 0.0068
80 0.6245  MSE 31185.3672, SSIM -0.0062
90 0.5115  MSE 29874.3105, SSIM 0.0077
100 0.4414  MSE 30250.0820, SSIM -0.0045
110 0.3850  MSE 30405.5225, SSIM -0.0005
120 0.3423  MSE 29534.6982, SSIM 0.0015
130 0.3090  MSE 30714.2490, SSIM -0.0060
140 0.2801  MSE 30114.9863, SSIM 0.0045
150 0.2605  MSE 29926.5088, SSIM 0.0080
160 0.2476  MSE 30074.3125, SSIM 0.0053
170 0.2379  MSE 30175.8193, SSIM 0.0008
180 0.2278  MSE 29804.0547, SSIM -0.0094
190 0.2211  MSE 29761.6787, SSIM 0.0176
0 175.1415  MSE 31268.1299, SSIM -0.0236
10 154.8593  MSE 29489.0283, SSIM 0.0170
20 154.1197  MSE 31050.8330, SSIM -0.0007
30 153.8612  MSE 30879.9277, SSIM -0.0012
40 153.6330  MSE 31095.8555, SSIM 0.0115
50 153.4793  MSE 31072.1758, SSIM -0.0035
60 153.3172  MSE 30024.4277, SSIM 0.0238
70 153.1699  MSE 29039.3877, SSIM 0.0002
80 153.0233  MSE 30390.0586, SSIM 0.0001
90 152.8955  MSE 29356.8145, SSIM 0.0308
100 152.7888  MSE 30948.5400, SSIM -0.0131
110 152.6888  MSE 30899.1045, SSIM -0.0055
120 152.5853  MSE 30217.0811, SSIM 0.0026
130 152.4845  MSE 30279.8516, SSIM 0.0185
140 152.3847  MSE 29978.5664, SSIM 0.0039
150 152.2802  MSE 30830.4902, SSIM -0.0079
160 152.1613  MSE 30099.0840, SSIM 0.0309
170 152.0569  MSE 30794.2383, SSIM 0.0050
180 151.9551  MSE 30544.7441, SSIM 0.0094
190 151.8595  MSE 30314.4062, SSIM 0.0016
0 0.4652  MSE 31821.5967, SSIM 0.0028
10 0.1078  MSE 31361.7422, SSIM 0.0081
20 943.6546  MSE 31829.0947, SSIM 0.0046
30 943.6546  MSE 31829.0947, SSIM 0.0046
40 943.6546  MSE 31829.0947, SSIM 0.0046
50 943.6546  MSE 31829.0947, SSIM 0.0046
60 943.6546  MSE 31829.0947, SSIM 0.0046
70 943.6546  MSE 31829.0947, SSIM 0.0046
80 943.6546  MSE 31829.0947, SSIM 0.0046
90 943.6546  MSE 31829.0947, SSIM 0.0046
100 943.6546  MSE 31829.0947, SSIM 0.0046
110 943.6546  MSE 31829.0947, SSIM 0.0046
120 943.6546  MSE 31829.0947, SSIM 0.0046
130 943.6546  MSE 31829.0947, SSIM 0.0046
140 943.6546  MSE 31829.0947, SSIM 0.0046
150 943.6546  MSE 31829.0947, SSIM 0.0046
160 943.6546  MSE 31829.0947, SSIM 0.0046
170 943.6546  MSE 31829.0947, SSIM 0.0046
180 943.6546  MSE 31829.0947, SSIM 0.0046
190 943.6546  MSE 31829.0947, SSIM 0.0046
0 166.4908  MSE 31777.8857, SSIM 0.0234
10 155.5667  MSE 30782.7354, SSIM 0.0065
20 153.9763  MSE 31505.7051, SSIM 0.0041
30 153.5898  MSE 31882.8799, SSIM 0.0001
40 153.4140  MSE 32275.9326, SSIM 0.0101
50 153.3753  MSE 32429.0381, SSIM -0.0040
60 153.3385  MSE 31773.2559, SSIM 0.0000
70 153.3126  MSE 32711.9961, SSIM -0.0133
80 153.2906  MSE 31401.0020, SSIM 0.0116
90 153.2698  MSE 31068.2705, SSIM 0.0414
100 153.2423  MSE 32091.4053, SSIM 0.0211
110 153.2177  MSE 32284.6123, SSIM -0.0045
120 153.1952  MSE 31551.8105, SSIM 0.0078
130 153.1742  MSE 31685.5801, SSIM 0.0003
140 153.1460  MSE 32480.4160, SSIM -0.0160
150 153.1181  MSE 31082.1768, SSIM 0.0192
160 153.0905  MSE 32983.5361, SSIM 0.0084
170 153.0568  MSE 32926.7432, SSIM -0.0151
180 153.0208  MSE 32873.1045, SSIM -0.0139
190 152.9873  MSE 33032.5410, SSIM -0.0101
0 311.7866  MSE 19952.1670, SSIM 0.0204
10 884.1388  MSE 50347.7617, SSIM 0.0047
20 884.1388  MSE 50347.7617, SSIM 0.0047
30 884.1388  MSE 50347.7617, SSIM 0.0047
40 884.1388  MSE 50347.7617, SSIM 0.0047
50 884.1388  MSE 50347.7617, SSIM 0.0047
60 884.1388  MSE 50347.7617, SSIM 0.0047
70 884.1388  MSE 50347.7617, SSIM 0.0047
80 884.1388  MSE 50347.7617, SSIM 0.0047
90 884.1388  MSE 50347.7617, SSIM 0.0047
100 884.1388  MSE 50347.7617, SSIM 0.0047
110 884.1388  MSE 50347.7617, SSIM 0.0047
120 884.1388  MSE 50347.7617, SSIM 0.0047
130 884.1388  MSE 50347.7617, SSIM 0.0047
140 884.1388  MSE 50347.7617, SSIM 0.0047
150 884.1388  MSE 50347.7617, SSIM 0.0047
160 884.1388  MSE 50347.7617, SSIM 0.0047
170 884.1388  MSE 50347.7617, SSIM 0.0047
180 884.1388  MSE 50347.7617, SSIM 0.0047
190 884.1388  MSE 50347.7617, SSIM 0.0047
0 307.3445  MSE 20428.5283, SSIM -0.0054
10 168.1473  MSE 20617.9248, SSIM -0.0165
20 153.8723  MSE 20247.9688, SSIM -0.0012
30 147.7194  MSE 19817.7842, SSIM 0.0103
40 144.6608  MSE 19615.7490, SSIM 0.0224
50 142.8870  MSE 19546.8916, SSIM 0.0153
60 141.8167  MSE 19887.8496, SSIM 0.0123
70 141.1756  MSE 19633.5957, SSIM 0.0189
80 140.6647  MSE 19011.9678, SSIM 0.0105
90 140.2699  MSE 20315.2568, SSIM 0.0079
100 139.8941  MSE 19701.1416, SSIM 0.0023
110 139.6384  MSE 20522.8545, SSIM -0.0100
120 139.4498  MSE 19735.5488, SSIM 0.0077
130 139.3013  MSE 19908.0586, SSIM 0.0082
140 139.1698  MSE 19103.8301, SSIM 0.0102
150 139.0142  MSE 19602.8672, SSIM 0.0115
160 138.8952  MSE 19283.1611, SSIM -0.0039
170 138.7845  MSE 19859.2900, SSIM 0.0009
180 138.6695  MSE 19926.2676, SSIM 0.0110
190 138.5629  MSE 19697.0479, SSIM 0.0129
0 153.2020  MSE 22420.7568, SSIM 0.0066
10 12.8017  MSE 21766.3203, SSIM 0.0006
20 4.2201  MSE 21342.8818, SSIM 0.0221
30 1.4549  MSE 21261.7627, SSIM 0.0277
40 0.5624  MSE 21641.0977, SSIM 0.0180
50 0.2095  MSE 19599.7773, SSIM 0.0580
60 0.0922  MSE 17148.1631, SSIM 0.1060
70 0.0470  MSE 14601.3809, SSIM 0.1612
80 0.0243  MSE 11463.9707, SSIM 0.2449
90 0.0126  MSE 9280.4287, SSIM 0.3172
100 0.0071  MSE 7932.8115, SSIM 0.3691
110 0.0043  MSE 6203.4365, SSIM 0.4527
120 0.0027  MSE 4766.1777, SSIM 0.5261
130 0.0017  MSE 3472.1406, SSIM 0.6049
140 0.0011  MSE 2511.7793, SSIM 0.6798
150 0.0007  MSE 1851.3535, SSIM 0.7422
160 0.0005  MSE 1294.7256, SSIM 0.8017
170 0.0003  MSE 921.9121, SSIM 0.8454
180 0.0002  MSE 801.2305, SSIM 0.8647
190 0.0002  MSE 605.2939, SSIM 0.8942
0 756.8394  MSE 21643.5215, SSIM 0.0083
10 627.2690  MSE 20494.1328, SSIM 0.0271
20 929.8395  MSE 22006.6934, SSIM -0.0075
30 929.8395  MSE 22006.6934, SSIM -0.0075
40 929.8395  MSE 22006.6934, SSIM -0.0075
50 929.8395  MSE 22006.6934, SSIM -0.0075
60 929.8395  MSE 22006.6934, SSIM -0.0075
70 929.8395  MSE 22006.6934, SSIM -0.0075
80 929.8395  MSE 22006.6934, SSIM -0.0075
90 929.8395  MSE 22006.6934, SSIM -0.0075
100 929.8395  MSE 22006.6934, SSIM -0.0075
110 929.8395  MSE 22006.6934, SSIM -0.0075
120 929.8395  MSE 22006.6934, SSIM -0.0075
130 929.8395  MSE 22006.6934, SSIM -0.0075
140 929.8395  MSE 22006.6934, SSIM -0.0075
150 929.8395  MSE 22006.6934, SSIM -0.0075
160 929.8395  MSE 22006.6934, SSIM -0.0075
170 929.8395  MSE 22006.6934, SSIM -0.0075
180 929.8395  MSE 22006.6934, SSIM -0.0075
190 929.8395  MSE 22006.6934, SSIM -0.0075
0 111.8293  MSE 35044.9805, SSIM 0.0274
10 8.8350  MSE 35156.3154, SSIM 0.0065
20 2.9753  MSE 35025.9951, SSIM 0.0240
30 1.0980  MSE 35671.8682, SSIM 0.0088
40 0.3873  MSE 35071.7871, SSIM 0.0069
50 0.1944  MSE 34281.4424, SSIM 0.0262
60 0.0867  MSE 31693.9072, SSIM 0.0759
70 0.0413  MSE 29874.9736, SSIM 0.1309
80 0.0224  MSE 27037.4082, SSIM 0.1831
90 0.0123  MSE 25009.8467, SSIM 0.2268
100 0.0067  MSE 22748.7998, SSIM 0.2790
110 0.0037  MSE 19268.9639, SSIM 0.3360
120 0.0022  MSE 17039.6885, SSIM 0.3801
130 0.0013  MSE 15166.1807, SSIM 0.4235
140 0.0009  MSE 13033.8975, SSIM 0.4673
150 0.0006  MSE 10792.8662, SSIM 0.5076
160 0.0004  MSE 9038.9756, SSIM 0.5472
170 0.0003  MSE 8499.2334, SSIM 0.5655
180 0.0002  MSE 7101.9521, SSIM 0.6139
190 0.0002  MSE 5649.3867, SSIM 0.6616
0 288.6443  MSE 36683.0371, SSIM 0.0172
10 160.0208  MSE 36210.8662, SSIM -0.0093
20 149.5490  MSE 35191.7598, SSIM 0.0092
30 145.6024  MSE 35988.2041, SSIM 0.0041
40 143.8231  MSE 35713.4746, SSIM -0.0198
50 142.7124  MSE 35727.1738, SSIM 0.0155
60 142.1011  MSE 35773.8730, SSIM 0.0046
70 141.6824  MSE 35067.5117, SSIM -0.0016
80 141.3192  MSE 35118.8936, SSIM -0.0064
90 141.0396  MSE 36146.3857, SSIM -0.0205
100 140.7919  MSE 36271.7695, SSIM 0.0178
110 140.5796  MSE 35528.7676, SSIM 0.0138
120 140.3985  MSE 34281.4150, SSIM 0.0194
130 140.2425  MSE 35638.7080, SSIM 0.0099
140 140.1096  MSE 36838.9658, SSIM 0.0057
150 140.0082  MSE 36000.5859, SSIM 0.0218
160 139.9282  MSE 35717.9199, SSIM -0.0040
170 139.8604  MSE 35314.6045, SSIM -0.0188
180 139.7587  MSE 34384.5635, SSIM 0.0202
190 139.7030  MSE 35005.6172, SSIM 0.0155
0 629.0360  MSE 32433.3838, SSIM 0.0276
10 693.3555  MSE 32149.3584, SSIM 0.0197
20 693.3555  MSE 32149.3584, SSIM 0.0197
30 693.3555  MSE 32149.3584, SSIM 0.0197
40 693.3555  MSE 32149.3584, SSIM 0.0197
50 693.3555  MSE 32149.3584, SSIM 0.0197
60 693.3555  MSE 32149.3584, SSIM 0.0197
70 693.3555  MSE 32149.3584, SSIM 0.0197
80 693.3555  MSE 32149.3584, SSIM 0.0197
90 693.3555  MSE 32149.3584, SSIM 0.0197
100 693.3555  MSE 32149.3584, SSIM 0.0197
110 693.3555  MSE 32149.3584, SSIM 0.0197
120 693.3555  MSE 32149.3584, SSIM 0.0197
130 693.3555  MSE 32149.3584, SSIM 0.0197
140 693.3555  MSE 32149.3584, SSIM 0.0197
150 693.3555  MSE 32149.3584, SSIM 0.0197
160 693.3555  MSE 32149.3584, SSIM 0.0197
170 693.3555  MSE 32149.3584, SSIM 0.0197
180 693.3555  MSE 32149.3584, SSIM 0.0197
190 693.3555  MSE 32149.3584, SSIM 0.0197
0 355.7065  MSE 32529.3086, SSIM -0.0038
10 173.3330  MSE 32302.2988, SSIM 0.0050
20 157.0934  MSE 32992.2363, SSIM 0.0056
30 151.2195  MSE 33575.4395, SSIM 0.0017
40 147.8569  MSE 32306.4297, SSIM 0.0096
50 146.0864  MSE 33442.6533, SSIM 0.0102
60 144.8598  MSE 33014.3193, SSIM 0.0043
70 143.9262  MSE 32619.5674, SSIM -0.0133
80 143.3533  MSE 33211.4971, SSIM 0.0216
90 142.9010  MSE 33753.6904, SSIM 0.0032
100 142.5236  MSE 34384.0742, SSIM -0.0102
110 142.1887  MSE 32981.6289, SSIM -0.0096
120 141.9315  MSE 31504.2568, SSIM 0.0193
130 141.7247  MSE 32699.2832, SSIM 0.0029
140 141.5682  MSE 32321.4033, SSIM 0.0278
150 141.4415  MSE 32186.2471, SSIM 0.0119
160 141.2894  MSE 32546.2480, SSIM 0.0128
170 141.1597  MSE 32461.4092, SSIM 0.0199
180 141.0602  MSE 33253.5928, SSIM -0.0089
190 140.9653  MSE 32968.0098, SSIM 0.0185
0 179.9306  MSE 28476.6396, SSIM 0.0136
10 13.6249  MSE 28109.3643, SSIM 0.0278
20 4.4131  MSE 28529.2910, SSIM 0.0025
30 1.6788  MSE 29063.4131, SSIM 0.0078
40 0.5632  MSE 27124.3301, SSIM 0.0311
50 0.2015  MSE 25109.5352, SSIM 0.0460
60 0.0858  MSE 20542.4727, SSIM 0.1326
70 0.0402  MSE 16359.3447, SSIM 0.2297
80 0.0201  MSE 11618.6689, SSIM 0.3430
90 0.0099  MSE 8433.0449, SSIM 0.4571
100 0.0058  MSE 5985.7832, SSIM 0.5591
110 0.0033  MSE 3811.7354, SSIM 0.6800
120 0.0021  MSE 2775.1904, SSIM 0.7555
130 0.0013  MSE 1896.0811, SSIM 0.8268
140 0.0008  MSE 1332.6475, SSIM 0.8711
150 0.0005  MSE 890.4785, SSIM 0.9186
160 0.0004  MSE 644.1250, SSIM 0.9363
170 0.0002  MSE 430.1064, SSIM 0.9594
180 0.0002  MSE 333.8799, SSIM 0.9693
190 0.0001  MSE 240.0107, SSIM 0.9764
0 277.2912  MSE 28849.3428, SSIM 0.0081
10 161.3244  MSE 29170.2568, SSIM -0.0106
20 153.1030  MSE 28404.5576, SSIM -0.0039
30 149.5627  MSE 27966.4180, SSIM 0.0098
40 147.6871  MSE 28900.5557, SSIM -0.0062
50 146.7226  MSE 27556.7119, SSIM 0.0081
60 145.8036  MSE 27601.5693, SSIM 0.0329
70 145.2066  MSE 28758.8486, SSIM 0.0117
80 144.6668  MSE 28388.6074, SSIM 0.0047
90 144.2736  MSE 28375.2783, SSIM 0.0138
100 143.9658  MSE 29119.2188, SSIM 0.0112
110 143.6186  MSE 28556.0898, SSIM -0.0072
120 143.1039  MSE 29225.9111, SSIM 0.0180
130 142.8174  MSE 28504.4336, SSIM 0.0016
140 142.3906  MSE 27913.5010, SSIM -0.0074
150 142.1722  MSE 28882.9482, SSIM 0.0074
160 141.9833  MSE 28509.8623, SSIM 0.0147
170 141.7831  MSE 28337.9033, SSIM 0.0085
180 141.5666  MSE 28239.0537, SSIM 0.0067
190 141.3887  MSE 28011.8652, SSIM 0.0271
0 132.6371  MSE 22702.8311, SSIM -0.0061
10 823.2952  MSE 23462.4688, SSIM 0.0129
20 390.4490  MSE 23177.6113, SSIM 0.0013
30 390.4490  MSE 23177.6113, SSIM 0.0013
40 390.4490  MSE 23177.6113, SSIM 0.0013
50 390.4490  MSE 23177.6113, SSIM 0.0013
60 390.4490  MSE 23177.6113, SSIM 0.0013
70 390.4490  MSE 23177.6113, SSIM 0.0013
80 390.4490  MSE 23177.6113, SSIM 0.0013
90 390.4490  MSE 23177.6113, SSIM 0.0013
100 390.4490  MSE 23177.6113, SSIM 0.0013
110 390.4490  MSE 23177.6113, SSIM 0.0013
120 390.4490  MSE 23177.6113, SSIM 0.0013
130 390.4490  MSE 23177.6113, SSIM 0.0013
140 390.4490  MSE 23177.6113, SSIM 0.0013
150 390.4490  MSE 23177.6113, SSIM 0.0013
160 390.4490  MSE 23177.6113, SSIM 0.0013
170 390.4490  MSE 23177.6113, SSIM 0.0013
180 390.4490  MSE 23177.6113, SSIM 0.0013
190 390.4490  MSE 23177.6113, SSIM 0.0013
0 374.7424  MSE 22434.9023, SSIM 0.0268
10 444.4056  MSE 22208.2783, SSIM 0.0397
20 444.4056  MSE 22208.2783, SSIM 0.0397
30 444.4056  MSE 22208.2783, SSIM 0.0397
40 444.4056  MSE 22208.2783, SSIM 0.0397
50 444.4056  MSE 22208.2783, SSIM 0.0397
60 444.4056  MSE 22208.2783, SSIM 0.0397
70 444.4056  MSE 22208.2783, SSIM 0.0397
80 444.4056  MSE 22208.2783, SSIM 0.0397
90 444.4056  MSE 22208.2783, SSIM 0.0397
100 444.4056  MSE 22208.2783, SSIM 0.0397
110 444.4056  MSE 22208.2783, SSIM 0.0397
120 444.4056  MSE 22208.2783, SSIM 0.0397
130 444.4056  MSE 22208.2783, SSIM 0.0397
140 444.4056  MSE 22208.2783, SSIM 0.0397
150 444.4056  MSE 22208.2783, SSIM 0.0397
160 444.4056  MSE 22208.2783, SSIM 0.0397
170 444.4056  MSE 22208.2783, SSIM 0.0397
180 444.4056  MSE 22208.2783, SSIM 0.0397
190 444.4056  MSE 22208.2783, SSIM 0.0397
0 246.0055  MSE 20125.8291, SSIM 0.0076
10 27.4505  MSE 20782.8965, SSIM -0.0093
20 10.2952  MSE 20553.7158, SSIM 0.0173
30 1.4880  MSE 19678.4043, SSIM 0.0215
40 0.3536  MSE 17817.5146, SSIM 0.0652
50 0.1152  MSE 14214.5176, SSIM 0.1389
60 0.0482  MSE 10388.0010, SSIM 0.2303
70 0.0204  MSE 6811.3340, SSIM 0.3360
80 0.0092  MSE 4025.7783, SSIM 0.4816
90 0.0048  MSE 2758.7812, SSIM 0.5740
100 0.0026  MSE 1793.3604, SSIM 0.6588
110 0.0015  MSE 1235.6162, SSIM 0.7227
120 0.0010  MSE 843.9141, SSIM 0.7784
130 0.0006  MSE 516.9111, SSIM 0.8328
140 0.0004  MSE 321.0273, SSIM 0.8759
150 0.0002  MSE 200.6006, SSIM 0.9097
160 0.0001  MSE 116.0518, SSIM 0.9390
170 0.0001  MSE 70.1855, SSIM 0.9583
180 0.0001  MSE 43.6279, SSIM 0.9722
190 0.0000  MSE 28.7949, SSIM 0.9808
0 381.2882  MSE 19947.5078, SSIM 0.0118
10 190.1003  MSE 19812.1797, SSIM 0.0104
20 170.4578  MSE 20511.5342, SSIM 0.0090
30 163.8379  MSE 19975.9736, SSIM 0.0214
40 160.4329  MSE 21004.3428, SSIM 0.0056
50 157.8214  MSE 20660.0283, SSIM 0.0006
60 155.9672  MSE 21074.1494, SSIM -0.0008
70 155.1159  MSE 20639.7246, SSIM -0.0093
80 154.3239  MSE 19418.7891, SSIM 0.0133
90 153.8386  MSE 19709.6875, SSIM 0.0227
100 153.3995  MSE 19802.9014, SSIM 0.0258
110 152.9555  MSE 20410.7441, SSIM 0.0179
120 152.5955  MSE 20141.8086, SSIM -0.0021
130 152.2480  MSE 20683.9023, SSIM -0.0027
140 151.9053  MSE 20798.4668, SSIM 0.0001
150 151.6464  MSE 20649.6875, SSIM 0.0030
160 151.4346  MSE 19863.3164, SSIM 0.0026
170 151.2555  MSE 20101.1172, SSIM 0.0079
180 151.1191  MSE 20110.5986, SSIM 0.0299
190 151.0038  MSE 20110.3369, SSIM 0.0100
0 59.4301  MSE 28859.6777, SSIM -0.0014
10 8.5375  MSE 27801.5029, SSIM 0.0129
20 4.6023  MSE 27764.9805, SSIM -0.0169
30 2.9410  MSE 27866.2822, SSIM 0.0175
40 1.8399  MSE 28262.7041, SSIM 0.0111
50 1.2307  MSE 28550.7939, SSIM 0.0109
60 0.8915  MSE 27910.8398, SSIM 0.0219
70 0.6748  MSE 29452.3887, SSIM -0.0002
80 0.5447  MSE 27484.3770, SSIM 0.0035
90 0.4726  MSE 28011.3486, SSIM -0.0051
100 0.4235  MSE 27432.8408, SSIM 0.0195
110 0.3975  MSE 27572.6289, SSIM 0.0298
120 0.3791  MSE 27669.2021, SSIM 0.0486
130 0.3689  MSE 27574.8955, SSIM 0.0468
140 0.3621  MSE 27710.9346, SSIM 0.0339
150 0.3570  MSE 28227.8545, SSIM 0.0127
160 0.3531  MSE 27862.0098, SSIM 0.0228
170 0.3505  MSE 27750.6416, SSIM 0.0256
180 0.3485  MSE 27653.1230, SSIM 0.0097
190 0.3470  MSE 28524.6299, SSIM 0.0000
0 215.4092  MSE 29001.1768, SSIM 0.0039
10 165.5458  MSE 27373.0059, SSIM 0.0150
20 160.1229  MSE 27965.4590, SSIM 0.0207
30 157.4839  MSE 28970.4541, SSIM -0.0086
40 155.5285  MSE 27896.6338, SSIM -0.0130
50 154.5127  MSE 28430.3008, SSIM -0.0033
60 153.6845  MSE 28461.4854, SSIM 0.0350
70 153.0312  MSE 27771.8057, SSIM 0.0180
80 152.3880  MSE 27741.5127, SSIM 0.0178
90 151.8931  MSE 27401.7393, SSIM 0.0374
100 151.4955  MSE 27871.0635, SSIM 0.0211
110 151.1077  MSE 28573.5527, SSIM 0.0219
120 150.7709  MSE 27717.9014, SSIM 0.0231
130 150.5407  MSE 27758.0381, SSIM 0.0075
140 150.2906  MSE 27700.2871, SSIM 0.0124
150 149.9547  MSE 28267.7432, SSIM -0.0238
160 149.6877  MSE 28302.5439, SSIM -0.0005
170 149.4208  MSE 28547.7891, SSIM 0.0052
180 149.1606  MSE 27948.5645, SSIM 0.0037
190 148.9847  MSE 27817.2656, SSIM 0.0240
0 23.2185  MSE 27204.8184, SSIM 0.0072
10 3.1059  MSE 27587.4883, SSIM 0.0058
20 1.4019  MSE 27306.6670, SSIM 0.0044
30 0.8929  MSE 27633.2490, SSIM -0.0003
40 0.5812  MSE 27301.6143, SSIM -0.0029
50 0.3923  MSE 27296.1270, SSIM -0.0095
60 0.2749  MSE 27700.2920, SSIM 0.0097
70 0.1891  MSE 27733.6553, SSIM -0.0069
80 0.1289  MSE 28196.2197, SSIM -0.0173
90 0.0924  MSE 27298.1377, SSIM 0.0081
100 0.0618  MSE 26741.7402, SSIM 0.0066
110 0.0396  MSE 27597.2002, SSIM -0.0055
120 0.0261  MSE 26590.1807, SSIM 0.0292
130 0.0176  MSE 25880.5664, SSIM 0.0289
140 0.0119  MSE 24329.2490, SSIM 0.0491
150 0.0079  MSE 22126.1699, SSIM 0.0876
160 0.0050  MSE 19912.8105, SSIM 0.1215
170 0.0032  MSE 17525.6924, SSIM 0.1568
180 0.0021  MSE 15287.8965, SSIM 0.1946
190 0.0014  MSE 12887.5107, SSIM 0.2389
0 182.5000  MSE 27680.8418, SSIM -0.0002
10 153.3548  MSE 26783.4053, SSIM 0.0173
20 149.2829  MSE 27731.3770, SSIM 0.0060
30 148.3649  MSE 27747.5156, SSIM 0.0166
40 147.7294  MSE 27153.1094, SSIM 0.0222
50 147.2537  MSE 26284.8467, SSIM 0.0235
60 146.9329  MSE 26384.5869, SSIM 0.0218
70 146.6386  MSE 26637.8066, SSIM 0.0032
80 146.3198  MSE 27571.7246, SSIM -0.0052
90 146.0981  MSE 27331.7480, SSIM 0.0073
100 145.9283  MSE 27499.6973, SSIM 0.0184
110 145.7541  MSE 28313.8828, SSIM -0.0174
120 145.5958  MSE 27074.3320, SSIM -0.0050
130 145.4807  MSE 26879.7725, SSIM 0.0123
140 145.3624  MSE 27546.0850, SSIM 0.0013
150 145.1962  MSE 28022.5459, SSIM 0.0016
160 145.0579  MSE 27232.7295, SSIM 0.0037
170 144.9257  MSE 27139.3027, SSIM -0.0040
180 144.8117  MSE 27912.8799, SSIM -0.0045
190 144.7178  MSE 27271.5723, SSIM -0.0020
0 71.3402  MSE 25465.2598, SSIM 0.0194
10 9.2998  MSE 25836.6777, SSIM -0.0099
20 3.9085  MSE 25960.8115, SSIM 0.0060
30 1.7129  MSE 26498.0752, SSIM -0.0100
40 0.8278  MSE 25645.1826, SSIM 0.0235
50 0.3525  MSE 24930.5918, SSIM 0.0318
60 0.1342  MSE 23901.9453, SSIM 0.0576
70 0.0545  MSE 22010.8369, SSIM 0.0823
80 0.0240  MSE 18524.5811, SSIM 0.1545
90 0.0115  MSE 14301.1768, SSIM 0.2766
100 0.0058  MSE 10599.6973, SSIM 0.4040
110 0.0030  MSE 7666.4580, SSIM 0.5123
120 0.0017  MSE 5667.0049, SSIM 0.6063
130 0.0011  MSE 3693.9531, SSIM 0.7170
140 0.0007  MSE 2427.4609, SSIM 0.8056
150 0.0004  MSE 1700.4961, SSIM 0.8619
160 0.0003  MSE 1252.8877, SSIM 0.8947
170 0.0002  MSE 751.8799, SSIM 0.9327
180 0.0001  MSE 498.9492, SSIM 0.9550
190 0.0001  MSE 380.4717, SSIM 0.9683
0 504.3551  MSE 25210.5684, SSIM 0.0015
10 181.0085  MSE 25001.7568, SSIM 0.0267
20 173.9452  MSE 24863.4580, SSIM 0.0143
30 169.6662  MSE 26514.7568, SSIM -0.0187
40 166.4095  MSE 25400.4717, SSIM 0.0172
50 164.0507  MSE 25875.3994, SSIM 0.0259
60 162.7009  MSE 25989.9990, SSIM 0.0028
70 161.5763  MSE 24696.4609, SSIM 0.0236
80 160.5818  MSE 25607.1211, SSIM 0.0143
90 159.3890  MSE 26691.7617, SSIM -0.0033
100 158.7662  MSE 25988.4092, SSIM 0.0023
110 158.2106  MSE 26130.3770, SSIM -0.0022
120 157.6168  MSE 25604.8750, SSIM 0.0100
130 157.0834  MSE 26880.5791, SSIM 0.0091
140 156.5722  MSE 25424.1436, SSIM 0.0187
150 156.0936  MSE 26424.0684, SSIM -0.0006
160 155.6918  MSE 25912.0635, SSIM 0.0045
170 155.2690  MSE 24847.3574, SSIM 0.0189
180 154.9663  MSE 25046.0078, SSIM 0.0169
190 154.6319  MSE 25568.3164, SSIM 0.0082
0 76.3213  MSE 37938.2744, SSIM 0.0167
10 22.9271  MSE 38947.7959, SSIM 0.0088
20 19.4659  MSE 38555.3271, SSIM -0.0006
30 16.9507  MSE 37823.0811, SSIM 0.0293
40 14.7345  MSE 37754.0791, SSIM 0.0143
50 12.8365  MSE 38142.5918, SSIM 0.0350
60 11.1065  MSE 39306.1738, SSIM -0.0158
70 9.9869  MSE 38257.1260, SSIM -0.0105
80 9.1611  MSE 38222.9775, SSIM 0.0058
90 8.2094  MSE 38701.7715, SSIM 0.0071
