2.8264  MSE 26360.6113, SSIM 0.0101
170 144.2629  MSE 23016.9414, SSIM 0.0192
180 144.1213  MSE 23038.9209, SSIM -0.0025
190 144.0104  MSE 23270.3730, SSIM 0.0008
0 130.9310  MSE 36899.9863, SSIM 0.0086
10 8.2476  MSE 36606.5420, SSIM 0.0094
20 3.2609  MSE 36182.9043, SSIM 0.0104
30 1.2435  MSE 37788.7451, SSIM 0.0035
40 0.5637  MSE 35781.0459, SSIM 0.0372
50 0.2781  MSE 35467.5889, SSIM 0.0325
60 0.1427  MSE 34442.4170, SSIM 0.0240
70 0.0858  MSE 32996.0547, SSIM 0.0338
80 0.0575  MSE 31808.8418, SSIM 0.0590
90 0.0378  MSE 29676.4316, SSIM 0.0688
100 0.0228  MSE 28503.3086, SSIM 0.0976
110 0.0147  MSE 26866.9688, SSIM 0.1249
120 0.0096  MSE 24730.1523, SSIM 0.1717
130 0.0067  MSE 22876.0176, SSIM 0.1988
140 0.0046  MSE 20790.2080, SSIM 0.2462
150 0.0033  MSE 19741.7383, SSIM 0.2890
160 0.0024  MSE 18498.6533, SSIM 0.3268
170 0.0018  MSE 16848.6035, SSIM 0.3765
180 0.0014  MSE 16106.7275, SSIM 0.4027
190 0.0011  MSE 15778.0986, SSIM 0.4190
0 766.5871  MSE 37740.2568, SSIM 0.0072
10 996.1242  MSE 38399.7891, SSIM -0.0004
20 996.1242  MSE 38399.7891, SSIM -0.0004
30 996.1242  MSE 38399.7891, SSIM -0.0004
40 996.1242  MSE 38399.7891, SSIM -0.0004
50 996.1242  MSE 38399.7891, SSIM -0.0004
60 996.1242  MSE 38399.7891, SSIM -0.0004
70 996.1242  MSE 38399.7891, SSIM -0.0004
80 996.1242  MSE 38399.7891, SSIM -0.0004
90 996.1242  MSE 38399.7891, SSIM -0.0004
100 996.1242  MSE 38399.7891, SSIM -0.0004
110 996.1242  MSE 38399.7891, SSIM -0.0004
120 996.1242  MSE 38399.7891, SSIM -0.0004
130 996.1242  MSE 38399.7891, SSIM -0.0004
140 996.1242  MSE 38399.7891, SSIM -0.0004
150 996.1242  MSE 38399.7891, SSIM -0.0004
160 996.1242  MSE 38399.7891, SSIM -0.0004
170 996.1242  MSE 38399.7891, SSIM -0.0004
180 996.1242  MSE 38399.7891, SSIM -0.0004
190 996.1242  MSE 38399.7891, SSIM -0.0004
iteration number 21
Train Epoch: 0 [0/50000 (0%)]	Loss: 1.191905
Train Epoch: 0 [19200/50000 (38%)]	Loss: 1.373134
Train Epoch: 0 [38400/50000 (77%)]	Loss: 1.164326

Train set: Average loss: 0.0000, Accuracy: 27647/50000 (55%)


Test set: Average loss: 0.0001, Accuracy: 5293/10000 (53%)

0 87.7554  MSE 19225.1533, SSIM 0.0197
10 9.4240  MSE 19236.4805, SSIM 0.0216
20 4.2132  MSE 19438.5166, SSIM 0.0090
30 1.7557  MSE 19046.8096, SSIM 0.0131
